Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Notes,ID,Currency conversion fee,Currency (Currency conversion fee)
Interest on cash,2023-12-20 22:12:49.381,,,,,,,,,0.01,"EUR",,,"Interest on cash",480f36cb-d2a5-4fc1-9716-c62ee8d80f00,,
Interest on cash,2023-12-24 22:10:38.727,,,,,,,,,0.01,"EUR",,,"Interest on cash",54914b59-06b1-4585-9634-987dbab861eb,,
Interest on cash,2023-12-29 22:13:03.378,,,,,,,,,0.01,"EUR",,,"Interest on cash",b3538396-c12c-4cc2-ad1e-5132dc0ea297,,
Interest on cash,2024-01-03 22:13:42.907,,,,,,,,,0.01,"EUR",,,"Interest on cash",6c293e43-96dd-4a7f-8a99-089ccfd10c57,,
Interest on cash,2024-01-08 22:14:18.298,,,,,,,,,0.01,"EUR",,,"Interest on cash",4156b2cd-b5cf-4e5c-b95a-4dec923dc12a,,
Dividend (Dividend),2024-01-12 13:15:52,US7561091049,O,"Realty Income",8.0000000000,0.22,USD,Not available,,1.59,"EUR",0.31,USD,,,,
Interest on cash,2024-01-13 22:10:54.095,,,,,,,,,0.01,"EUR",,,"Interest on cash",c4118584-4eb2-4766-83f1-2e6ecbaaa33f,,
Interest on cash,2024-01-18 22:12:25.105,,,,,,,,,0.01,"EUR",,,"Interest on cash",3e80dfea-a44e-4dab-8b66-37c2eaa1525a,,
Interest on cash,2024-01-22 22:11:36.943,,,,,,,,,0.01,"EUR",,,"Interest on cash",ba8c025d-6297-45ea-b72e-127403b5022e,,
Interest on cash,2024-01-27 22:13:12.148,,,,,,,,,0.01,"EUR",,,"Interest on cash",998268a1-a8c0-45aa-b7ab-91f4b922e61e,,
Interest on cash,2024-02-01 22:14:44.663,,,,,,,,,0.01,"EUR",,,"Interest on cash",b680c396-387d-46dc-aaab-39ac434a43ba,,
Interest on cash,2024-02-06 22:12:19.86,,,,,,,,,0.01,"EUR",,,"Interest on cash",aa5afa2a-a33a-4275-9eb4-0c956f7f0aff,,
Interest on cash,2024-02-10 22:13:01.889,,,,,,,,,0.01,"EUR",,,"Interest on cash",14e46926-e7e8-4bc6-b7db-1794b0d4b031,,
Dividend (Dividend),2024-02-15 12:21:12,US7561091049,O,"Realty Income",8.0000000000,0.22,USD,Not available,,1.63,"EUR",0.31,USD,,,,
Deposit,2024-02-24 11:14:17.653,,,,,,,,,150.00,"EUR",,,"Transaction ID: C47L3ZQR8XZ7ZQD3",35401e11-c3d3-4f69-a397-d8900faeaa9a,,
Market buy,2024-02-26 14:30:28.016,US7561091049,O,"Realty Income",4.0936350000,52.98,USD,1.08500,"EUR",200.19,"EUR",,,,EOF10851411343,0.30,"EUR"
Dividend (Dividend),2024-03-15 16:00:14,US7561091049,O,"Realty Income",12.0936350000,0.22,USD,Not available,,2.42,"EUR",0.47,USD,,,,
Dividend (Dividend),2024-03-15 16:11:41,US9024941034,TSN,"Tyson Foods",4.0000000000,0.42,USD,Not available,,1.53,"EUR",0.29,USD,,,,
Dividend (Dividend),2024-04-15 13:41:41,US7561091049,O,"Realty Income",12.0936350000,0.22,USD,Not available,,2.48,"EUR",0.47,USD,,,,
Dividend (Dividend),2024-05-15 11:57:55,US7561091049,O,"Realty Income",12.0936350000,0.22,USD,Not available,,2.44,"EUR",0.47,USD,,,,
Dividend (Dividend),2024-06-14 12:25:23,US9024941034,TSN,"Tyson Foods",4.0000000000,0.42,USD,Not available,,1.55,"EUR",0.29,USD,,,,
Dividend (Dividend),2024-06-14 12:39:59,US7561091049,O,"Realty Income",12.0936350000,0.22,USD,Not available,,2.51,"EUR",0.48,USD,,,,
Deposit,2024-06-25 14:33:42.815,,,,,,,,,100.00,"EUR",,,"Transaction ID: D24ZG27V2NGGPSD3",d27dd563-f86b-4452-80bc-0f3eb20c3637,,
Market buy,2024-06-25 14:35:29.922,US7561091049,O,"Realty Income",2.0000000000,53.28,USD,1.06945,"EUR",99.79,"EUR",,,,EOF16501714197,0.15,"EUR"
Dividend (Dividend),2024-07-15 11:08:48,US7561091049,O,"Realty Income",14.0936350000,0.22,USD,Not available,,2.89,"EUR",0.56,USD,,,,
Dividend (Dividend),2024-08-15 15:24:11,US7561091049,O,"Realty Income",14.0936350000,0.22,USD,Not available,,2.86,"EUR",0.56,USD,,,,
Dividend (Dividend),2024-09-13 11:33:49,US9024941034,TSN,"Tyson Foods",4.0000000000,0.42,USD,Not available,,1.50,"EUR",0.29,USD,,,,
Dividend (Dividend),2024-09-13 11:39:12,US7561091049,O,"Realty Income",14.0936350000,0.22,USD,Not available,,2.84,"EUR",0.56,USD,,,,
